182,43.54,56.08,73.11,52.06,,,,,,,
183,43.94,56.18,73.67,52.44,,,,,,,
184,43.81,56.56,73.27,52.02,,,,,,,
185,44.13,56.55,74.15,52.42,,,,,,,
186,44.19,56.55,74.27,51.25,,,,,,,
187,44.1,57.22,74.4,52.97,,,,,,,
188,44.36,57.32,74.4,53.13,,,,,,,
189,44.35,57.3,74.99,52.46,,,,,,,
190,44.57,57.95,75.42,52.38,,,,,,,
191,44.2,58.15,75.01,52.81,,,,,,,
192,44.67,58.28,75.8,52.11,,,,,,,
193,44.78,58.37,76.55,53.85,,,,,,,
194,44.92,58.49,75.79,52.98,,,,,,,
195,45.03,58.63,76.74,53,,,,,,,
196,44.87,58.69,76.78,53.94,,,,,,,
197,44.79,59.3,76.5,54.12,,,,,,,
198,45.07,59.45,77.2,53.34,,,,,,,
199,45.39,59.3,77.28,53.66,,,,,,,
200,45.18,59.59,77.43,52.78,,,,,,,
201,45.37,60.14,78.29,53.79,,,,,,,
202,45.87,60.24,78.2,54.42,,,,,,,
203,45.67,60.25,79.12,53.88,,,,,,,
204,45.87,60.81,78.35,55.62,,,,,,,
205,46.26,60.62,79.46,54.71,,,,,,,
206,46.06,61.12,79.3,55.2,,,,,,,
207,46.09,61.55,80.15,54.11,,,,,,,
208,46.26,61.49,79.86,54.42,,,,,,,
209,46.36,61.61,79.89,54.7,,,,,,,
210,46.28,61.89,80.41,55.96,,,,,,,
211,46.79,62.02,81.1,56.35,,,,,,,
212,46.57,61.95,80.11,55.39,,,,,,,
213,46.93,62.51,80.58,56.3,,,,,,,
214,47,62.26,81.82,55.48,,,,,,,
215,47.04,62.74,81,56.02,,,,,,,
216,46.99,63.12,81.94,56.38,,,,,,,
