TipoAntena,NAntenas,Caso,PotenciaAntena_W,PotenciaTotal_W,Detectada,CubiertaPorCarbonizacion,PotenciaCarbonizante_W,MinutoCorteCarbonizante,FaltanteBruta,FaltanteEfectiva
Monopolo,2,0,35,70,0,0,NaN,NaN,1,1
Monopolo,2,0,40,80,0,0,NaN,NaN,1,1
Monopolo,2,0,45,90,0,0,NaN,NaN,1,1
Monopolo,2,0,50,100,0,0,NaN,NaN,1,1
Monopolo,2,1,5,10,0,0,NaN,NaN,1,1
Monopolo,2,1,10,20,0,0,NaN,NaN,1,1
Monopolo,2,1,15,30,0,0,NaN,NaN,1,1
Monopolo,2,1,20,40,0,0,NaN,NaN,1,1
Monopolo,2,1,25,50,0,0,NaN,NaN,1,1
Monopolo,2,1,35,70,0,0,NaN,NaN,1,1
Monopolo,2,1,40,80,0,0,NaN,NaN,1,1
Monopolo,2,1,45,90,0,0,NaN,NaN,1,1
Monopolo,2,1,50,100,0,0,NaN,NaN,1,1
